City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Sao Felix Do Xingu,BR,-6.6447,-51.995,31.07,31,85,0.9,overcast clouds
297,Tres Picos,MX,15.8667,-93.5333,27.49,78,74,1.72,broken clouds
298,Korla,CN,41.7597,86.1469,10.78,38,0,0.51,clear sky
299,Chunoyar,RU,57.4467,97.3217,0.17,97,99,3.54,overcast clouds
300,Walvis Bay,NA,-22.9575,14.5053,11.85,93,4,4.53,clear sky
301,Kargil,IN,34.5667,76.1,5.09,62,0,2.22,clear sky
302,Teknaf,BD,20.8624,92.3058,25.06,89,74,1.56,broken clouds
303,Carnarvon,AU,-24.8667,113.6333,17.21,53,17,11.32,few clouds
304,General Bravo,MX,25.8,-99.1667,30.62,31,72,4.44,broken clouds
305,Semily,CZ,50.6019,15.3355,13.11,93,95,1.32,overcast clouds
306,Barentu,ER,15.1139,37.5928,24.0,37,67,0.72,broken clouds
307,Saldanha,ZA,-33.0117,17.9442,13.5,78,5,1.83,clear sky
308,Kendari,ID,-3.945,122.4989,26.26,88,100,1.04,overcast clouds
309,Tukrah,LY,32.5341,20.5791,22.24,67,0,6.83,clear sky
310,Ranong,TH,9.9658,98.6348,25.49,90,100,2.03,light rain
311,Vesoul,FR,47.5833,5.8333,11.45,91,0,2.53,clear sky
312,Matara,LK,5.9485,80.5353,24.85,89,100,5.47,overcast clouds
313,La Macarena,CO,2.1837,-73.7849,25.18,84,88,1.43,overcast clouds
314,Talcahuano,CL,-36.7167,-73.1167,11.82,82,75,1.54,broken clouds
315,Kruisfontein,ZA,-34.0033,24.7314,11.05,88,63,2.4,broken clouds
316,Ozu,JP,33.5,132.55,20.46,79,99,2.58,light rain
317,West Bay,KY,19.3667,-81.4167,29.04,75,75,3.09,broken clouds
318,Thurso,GB,58.5927,-3.5259,11.03,80,95,10.94,overcast clouds
319,Swan Hill,AU,-35.3378,143.5544,18.03,81,100,5.92,overcast clouds
320,Radhanpur,IN,23.8333,71.6,27.99,66,41,4.39,scattered clouds
321,Thongwa,MM,16.7619,96.5278,26.09,92,73,1.76,broken clouds
